LastActionCode,TotalTime_count,TotalTime_mean,TotalTime_max,TotalTime_min,TotalTime_median,TotalTime_var,thread,action,record_count
VALIDATE_USER,118,29988.35593220339,32724,8822,30273.5,9969941.786759378,1000,create_task,702
CREATE_USER_PREFERENCE,333,11142.717717717718,16229,5204,11391.0,11128137.335739346,300,create_user_profile,999
CREATE_USER_PROFILE,333,7475.543543543544,12067,2151,7272.0,5609232.839212709,300,create_user_profile,999
CREATE_FILE_OBJECT,322,11380.462732919255,16331,3635,11271.0,2780383.258731447,300,create_file_object,966
VALIDATE_FILE_OBJECT,322,3487.307453416149,7576,742,3278.5,2651924.6310346173,300,create_file_object,966
CREATE_DEFAULT_TEAM_AND_ADD_INITIAL_DEFAULT_TEAM_USER,86,18700.06976744186,21297,16281,18141.5,2438733.7833105354,300,create_organization,435
CREATE_ORGANIZATION_AND_ADD_INITIAL_ORGANIZATION_USER,87,13784.666666666666,14748,11877,13831.0,556741.2945736432,300,create_organization,435
VALIDATE_ORGANIZATION,88,1606.409090909091,2742,694,1692.0,171284.77324973868,300,create_organization,435
VALIDATE_USER,88,9772.90909090909,10473,8040,9671.5,195322.3594566352,300,create_organization,435
CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,219,17252.9497716895,20408,11464,18065.0,5057670.369025178,300,create_team,880
VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,221,9681.760180995476,13875,7907,9462.0,745286.5467708757,300,create_team,880
VALIDATE_TEAM,221,2238.927601809955,4658,516,2232.0,856140.6401892222,300,create_team,880
CREATE_TASK_AND_ATTACH_FILE_OBJECT,233,24158.96566523605,26950,19040,24426.0,2430448.82640225,300,create_task,1398
VALIDATE_FILE_OBJECT,233,18471.557939914164,19636,15220,18629.0,382378.2994302211,300,create_task,1398
VALIDATE_TASK,233,3210.50643776824,5634,945,3223.0,1312535.5268980314,300,create_task,1398
VALIDATE_TEAM,233,13929.394849785407,15109,11713,13970.0,304519.63652508566,300,create_task,1398
VALIDATE_USER,233,9694.31330472103,10666,7496,9705.0,184933.94021015262,300,create_task,1398
CREATE_USER_PREFERENCE,498,6799.0140562249,9775,3560,6833.0,1682613.2251541365,100,create_user_profile,1494
CREATE_USER_PROFILE,498,4061.363453815261,6680,2235,3946.0,715803.974275371,100,create_user_profile,1494
CREATE_FILE_OBJECT,483,5736.066252587992,7956,2419,5691.0,833048.8047301191,100,create_file_object,1449
VALIDATE_FILE_OBJECT,483,2057.167701863354,3891,274,1961.0,694480.6253447079,100,create_file_object,1449
CREATE_DEFAULT_TEAM_AND_ADD_INITIAL_DEFAULT_TEAM_USER,472,10935.760593220339,13200,7302,10975.5,1316202.5901210913,100,create_organization,2360
CREATE_ORGANIZATION_AND_ADD_INITIAL_ORGANIZATION_USER,472,8151.76906779661,10633,5363,8155.0,547201.5282980681,100,create_organization,2360
VALIDATE_ORGANIZATION,472,2861.273305084746,5018,384,2952.5,1121016.984593724,100,create_organization,2360
VALIDATE_USER,472,5898.400423728814,7173,3118,5941.5,366349.463524236,100,create_organization,2360
CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,528,8102.992424242424,11280,5109,8001.5,1507720.2390316834,100,create_team,2112
VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,528,5340.435606060606,7490,2185,5288.0,818382.8611206939,100,create_team,2112
VALIDATE_TEAM,528,2236.494318181818,4957,63,2006.0,927426.3263433664,100,create_team,2112
CREATE_TASK_AND_ATTACH_FILE_OBJECT,547,12949.360146252286,15800,9472,13010.0,1895717.2931340444,100,create_task,3294
VALIDATE_FILE_OBJECT,549,10224.429872495446,12860,7552,10213.0,941031.2236315525,100,create_task,3294
VALIDATE_TASK,550,2456.2909090909093,5037,259,2315.5,881650.986256002,100,create_task,3294
VALIDATE_TEAM,551,7916.323049001815,9909,5784,7907.0,820837.9499950508,100,create_task,3294
VALIDATE_USER,550,5660.205454545455,7498,3232,5672.5,627278.8119920507,100,create_task,3294
CREATE_USER_PREFERENCE,70,3334.785714285714,4200,2811,3266.5,119799.67805383023,10,create_user_profile,213
CREATE_USER_PROFILE,72,2173.1666666666665,2744,1797,2198.5,32865.492957746486,10,create_user_profile,213
CREATE_FILE_OBJECT,60,2182.4666666666667,3308,1653,2100.0,199805.67683615824,10,create_file_object,180
VALIDATE_FILE_OBJECT,60,1130.4333333333334,1519,666,1116.5,63464.758192090405,10,create_file_object,180
CREATE_DEFAULT_TEAM_AND_ADD_INITIAL_DEFAULT_TEAM_USER,55,4777.8,6701,3679,4626.0,724534.644444444,10,create_organization,285
CREATE_ORGANIZATION_AND_ADD_INITIAL_ORGANIZATION_USER,58,3471.7758620689656,5215,2657,3254.0,492533.8962492437,10,create_organization,285
VALIDATE_ORGANIZATION,57,1411.4561403508771,1904,713,1340.0,97410.14536340856,10,create_organization,285
VALIDATE_USER,59,2323.813559322034,3683,1664,2239.0,312077.46464056097,10,create_organization,285
CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,50,3713.5,5147,2728,3599.0,515570.7857142856,10,create_team,200
VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,50,2181.3,3207,1560,2173.5,214170.90816326527,10,create_team,200
VALIDATE_TEAM,50,1268.14,1722,701,1297.5,59885.510612244914,10,create_team,200
CREATE_TASK_AND_ATTACH_FILE_OBJECT,50,5935.06,6683,5305,5923.0,161388.58816326526,10,create_task,300
VALIDATE_FILE_OBJECT,50,4778.14,5282,4207,4714.5,105453.837142857,10,create_task,300
VALIDATE_TASK,50,1317.22,1778,697,1327.5,104324.66489795918,10,create_task,300
VALIDATE_TEAM,50,3529.12,4402,2624,3672.0,294571.8220408163,10,create_task,300
VALIDATE_USER,50,2330.6,2884,1616,2167.0,173458.89795918367,10,create_task,300
CREATE_USER_PREFERENCE,94,3077.521276595745,5168,2249,2899.0,403025.4350263099,1,create_user_profile,282
CREATE_USER_PROFILE,94,2046.0106382978724,3652,1620,1893.0,125917.75257378173,1,create_user_profile,282
CREATE_FILE_OBJECT,94,2028.6808510638298,3677,1524,1835.0,204813.29489819257,1,create_file_object,282
VALIDATE_FILE_OBJECT,94,987.6489361702128,1852,382,824.0,105406.55284831849,1,create_file_object,282
CREATE_DEFAULT_TEAM_AND_ADD_INITIAL_DEFAULT_TEAM_USER,79,4133.379746835443,5751,3156,4078.0,235511.8795845504,1,create_organization,395
CREATE_ORGANIZATION_AND_ADD_INITIAL_ORGANIZATION_USER,79,3055.2911392405063,4336,2172,3062.0,132439.72184355726,1,create_organization,395
VALIDATE_ORGANIZATION,79,996.0632911392405,1737,508,1018.0,93636.13696851674,1,create_organization,395
VALIDATE_USER,79,1982.2025316455697,2830,1170,2031.0,115945.49691658556,1,create_organization,395
CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,64,3132.0,4306,2004,3109.5,188269.14285714284,1,create_team,256
VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,64,2030.828125,2739,889,2028.5,142548.27157738086,1,create_team,256
VALIDATE_TEAM,64,927.671875,1743,285,970.0,110252.0017361111,1,create_team,256
CREATE_TASK_AND_ATTACH_FILE_OBJECT,60,5011.533333333334,7055,3107,4915.5,1035869.3039548023,1,create_task,360
VALIDATE_FILE_OBJECT,60,3953.8,6070,1792,3941.5,1117348.0271186435,1,create_task,360
VALIDATE_TASK,60,921.8166666666667,1462,252,961.0,133628.99971751412,1,create_task,360
VALIDATE_TEAM,60,2893.9666666666667,4488,1224,2858.0,642697.6259887007,1,create_task,360
VALIDATE_USER,60,1918.2,3078,908,1880.5,413891.75593220344,1,create_task,360
