Namespace,mean,median,max,min,var,Thread,Action
UserPreferenceMemoryUsage,385661883.73333335,386101248.0,387764224.0,381804544.0,3608861769415.923,100,type2
OrganizationMemoryUsage,393715712.0,393707520.0,393760768.0,393658368.0,1833510034.2857144,100,type2
TeamMemoryUsage,422057028.26666665,421367808.0,433213440.0,403771392.0,87269343339354.17,100,type2
PlanMemoryUsage,381050606.93333334,381046784.0,381063168.0,381042688.0,63433854.78095239,100,type2
StorageMemoryUsage,414252509.8666667,414253056.0,414269440.0,414240768.0,40425101.40952382,100,type2
MemoryUsage,413092924.2352941,413028352.0,413212672.0,413028352.0,6093336816.941175,100,type3
AuthMemoryUsage,413092924.2352941,413028352.0,413212672.0,413028352.0,6093336816.941175,100,type3
WebsocketMemoryUsage,357209991.5294118,356020224.0,359628800.0,355819520.0,3377830544323.765,100,type3
WebGatewayMemoryUsage,1221931248.9411764,1233838080.0,1281703936.0,1121484800.0,3297399981149967.0,100,type3
JobMemoryUsage,361869071.0588235,361840640.0,362090496.0,361832448.0,6997085967.058824,100,type3
UserProfileMemoryUsage,437831559.5294118,440963072.0,442388480.0,427917312.0,30884390749123.766,100,type3
UserPreferenceMemoryUsage,380464188.2352941,382283776.0,386928640.0,369119232.0,44063513440496.94,100,type3
OrganizationMemoryUsage,396527254.5882353,400936960.0,404467712.0,374341632.0,113658080387553.88,100,type3
TeamMemoryUsage,430258537.4117647,417574912.0,456474624.0,389771264.0,655727207244257.9,100,type3
PlanMemoryUsage,379546925.1764706,379568128.0,379592704.0,379469824.0,2613544839.529412,100,type3
StorageMemoryUsage,413169061.64705884,413175808.0,413175808.0,413159424.0,69082654.11764707,100,type3
