Namespace,mean,median,max,min,var,Thread,Action
UserPreferenceMemoryUsage,355634858.6666667,355655680.0,355946496.0,355119104.0,42836906101.02856,100,create_user_profile
OrganizationMemoryUsage,842366634.6666666,842342400.0,842534912.0,842264576.0,10391687753.142857,100,create_user_profile
TeamMemoryUsage,453282019.5555556,453255168.0,453402624.0,453185536.0,6406446505.853969,100,create_user_profile
PlanMemoryUsage,438117262.2222222,438132736.0,438239232.0,437985280.0,6207676442.0063505,100,create_user_profile
StorageMemoryUsage,431295374.2222222,430583808.0,442970112.0,430501888.0,8252624936049.778,100,create_user_profile
MemoryUsage,410817080.8888889,410816512.0,410914816.0,410742784.0,2970193048.787301,100,create_file_object
AuthMemoryUsage,410817080.8888889,410816512.0,410914816.0,410742784.0,2970193048.787301,100,create_file_object
WebsocketMemoryUsage,818258830.2222222,815353856.0,857673728.0,784625664.0,617093442524917.5,100,create_file_object
WebGatewayMemoryUsage,1021247601.7777778,1020616704.0,1027592192.0,1001078784.0,40003680579258.93,100,create_file_object
JobMemoryUsage,672121514.6666666,681814016.0,683806720.0,643637248.0,237920730061209.66,100,create_file_object
UserProfileMemoryUsage,470624824.8888889,470507520.0,471908352.0,470507520.0,138383417526.04443,100,create_file_object
UserPreferenceMemoryUsage,355089749.3333333,355086336.0,355098624.0,355086336.0,17735914.057142857,100,create_file_object
OrganizationMemoryUsage,831273187.5555556,832290816.0,842268672.0,811270144.0,115844420130861.48,100,create_file_object
TeamMemoryUsage,453112263.1111111,453074944.0,453181440.0,453074944.0,2535543317.1301584,100,create_file_object
PlanMemoryUsage,437966961.7777778,437960704.0,437981184.0,437960704.0,91542349.20634921,100,create_file_object
StorageMemoryUsage,450381596.4444444,449763328.0,457621504.0,426582016.0,69031240018082.555,100,create_file_object
MemoryUsage,410061482.6666667,410062848.0,410075136.0,409985024.0,223376647.31428578,100,create_organization
AuthMemoryUsage,410061482.6666667,410062848.0,410075136.0,409985024.0,223376647.31428578,100,create_organization
WebsocketMemoryUsage,517984256.0,520208384.0,520437760.0,506355712.0,20784121373374.17,100,create_organization
WebGatewayMemoryUsage,1008612465.7777778,1016004608.0,1019789312.0,958697472.0,231085385585953.38,100,create_organization
JobMemoryUsage,474584860.4444444,455761920.0,535650304.0,454270976.0,646692407456667.2,100,create_organization
UserProfileMemoryUsage,445983516.4444444,449564672.0,467337216.0,435965952.0,61187200676295.12,100,create_organization
UserPreferenceMemoryUsage,354738744.8888889,354746368.0,354766848.0,354705408.0,509215136.10158736,100,create_organization
OrganizationMemoryUsage,605000590.2222222,607973376.0,625209344.0,575946752.0,284931360376916.44,100,create_organization
TeamMemoryUsage,452824405.3333333,452818944.0,452980736.0,452804608.0,1538231032.685714,100,create_organization
PlanMemoryUsage,437863651.5555556,437858304.0,437870592.0,437858304.0,34340031.796825394,100,create_organization
StorageMemoryUsage,423731427.5555556,423731200.0,423735296.0,423727104.0,11451115.682539685,100,create_organization
